mAh	volts	mA
0.0	3.01319905	0.12054629999999998
0.0019997	3.0234226	0.1212329
0.0049651999999999995	3.03349355	0.1213092
0.008241799999999999	3.04356451	0.1213092
0.011793399999999999	3.05378805	0.1214618
0.015561199999999999	3.06385901	0.1215381
0.019491400000000002	3.07392996	0.1212329
0.023520100000000002	3.08400092	0.1213092
0.0276984	3.09407187	0.1212329
0.0320712	3.10429541	0.1213092
0.0367498	3.11451896	0.1210803
0.0415033	3.12458991	0.1214618
0.046434300000000005	3.13466087	0.1211566
0.051473599999999994	3.14473182	0.1214618
0.056669	3.15480278	0.1213855
0.0620046	3.16487373	0.1213092
0.0675707	3.17509728	0.1213855
0.07349589999999999	3.18516823	0.1210803
0.07942850000000001	3.19523919	0.1213092
0.0855381	3.20531014	0.1213092
0.09197430000000001	3.21538109	0.1214618
0.098509	3.22545205	0.1215381
0.10527049999999999	3.235523	0.1213092
0.1122201	3.24559396	0.1213855
0.1195146	3.25566491	0.1213855
0.1269253	3.26588846	0.1213855
0.1347824	3.27595941	0.1213092
0.14267359999999998	3.28603037	0.1212329
0.1509406	3.29610132	0.1211566
0.1592946	3.30617227	0.1213855
0.16816129999999999	3.31624323	0.12161440000000001
0.17727500000000002	3.32631418	0.1215381
0.1865574	3.33638514	0.1215381
0.19621929999999999	3.34645609	0.12161440000000001
0.20620509999999997	3.35652705	0.1213092
0.2165082	3.366598	0.1215381
0.22728419999999996	3.37666896	0.1212329
0.23849679999999998	3.38673991	0.1213092
0.25008959999999997	3.39681086	0.1214618
0.2620333	3.40688182	0.1212329
0.27447330000000003	3.41695277	0.1211566
0.2874027	3.42702373	0.1213092
0.3009898	3.43709468	0.1214618
0.3154095	3.44716564	0.1212329
0.3306524	3.45723659	0.1213855
0.34726559999999995	3.46730755	0.1215381
0.3677871	3.4773785	0.1214618
0.398126	3.48592355	0.1213855
0.42846480000000003	3.49080644	0.1213092
0.4588037	3.49477379	0.1213855
0.4891425	3.49797818	0.1213855
0.5194813	3.50118257	0.1212329
0.5498202	3.50469215	0.1214618
0.580159	3.50789654	0.1213855
0.6104978999999999	3.51155871	0.1213855
0.6408368000000001	3.51537346	0.1212329
0.6711756	3.51979858	0.1213855
0.7015144	3.5242237	0.1214618
0.7318532999999999	3.52986954	0.1214618
0.7621921000000002	3.53566796	0.12161440000000001
0.7925308999999999	3.54192416	0.1214618
0.8228698	3.54863813	0.1212329
0.8532086	3.55519951	0.1213092
0.8835474000000001	3.56130312	0.1213092
0.9138863	3.56740673	0.1213092
0.9442252	3.57381552	0.1213855
0.9745639999999999	3.5803769	0.1214618
1.0049028999999998	3.58602274	0.1214618
1.0352416999999998	3.59136339	0.1213092
1.0655805999999999	3.59685664	0.1213092
1.0959194	3.60250248	0.1212329
1.1262583000000002	3.60875868	0.1213092
1.1565971000000002	3.61409934	0.1213855
1.1869359	3.61821927	0.1213855
1.2172748	3.62172885	0.1213855
1.2476136	3.62493324	0.1213855
1.2779524999999998	3.62783246	0.1210803
1.3082913	3.63073167	0.121004
1.3386301999999999	3.63378347	0.1213092
1.368969	3.6365301	0.1213092
1.3993079000000002	3.63927672	0.1213092
1.4296468	3.64171817	0.1213855
1.4599856	3.64415961	0.1214618
1.4903244	3.64675364	0.1213092
1.5206632999999998	3.64888991	0.1214618
1.5510020999999998	3.65133135	0.1213092
1.5813409	3.65407797	0.1213092
1.6116798	3.65606165	0.1212329
1.6420187	3.65880827	0.1215381
1.6723576000000002	3.6614023	0.1213092
1.7026964000000002	3.66414893	0.1212329
1.7330353	3.66704814	0.1212329
1.7633741	3.66948959	0.1214618
1.793713	3.67254139	0.1213092
1.8240518	3.67528801	0.1213092
1.8543907	3.678645	0.1213855
1.8847295000000002	3.6816968	0.1213855
1.9150683	3.68520638	0.1214618
1.9454072	3.68886854	0.1211566
1.9757461	3.69237812	0.1213092
2.0060849	3.69619287	0.1213855
2.0364238	3.70016022	0.1214618
2.0667626	3.70443275	0.1214618
2.0971015	3.70855268	0.1213855
2.1274403	3.7129778	0.1213092
2.1577791	3.71801328	0.1216907
2.188118	3.72289616	0.1214618
2.2184569	3.72823682	0.1214618
2.2487957000000005	3.73357748	0.1214618
2.2791345	3.73937591	0.1214618
2.3094734	3.7456321	0.1213092
2.3398122000000003	3.75204089	0.1214618
2.3701511	3.75875486	0.1213092
2.4004898999999997	3.7659266	0.1214618
2.4308287	3.7738613	0.1212329
2.4611676	3.78240635	0.1213092
2.4915065	3.79125658	0.1215381
2.5218453000000003	3.80041199	0.1213855
2.5521842	3.80972	0.1213092
2.5825229999999997	3.81948577	0.1215381
2.6128619	3.828336	0.1215381
2.6432007	3.83672847	0.1215381
2.6735396000000002	3.84527352	0.1214618
2.7038784000000002	3.8533608	0.1213092
2.7342172	3.86099031	0.1215381
2.7645560999999996	3.86861982	0.1212329
2.7948949	3.87655451	0.1210803
2.8252338000000004	3.88387884	0.1213092
2.8555726	3.89166094	0.1214618
2.8859115	3.89929046	0.1213855
2.9162503	3.90722515	0.1214618
2.9465892	3.91470207	0.1214618
2.9769279999999996	3.92278935	0.1213855
3.0072669	3.93072404	0.1214618
3.0376058	3.93850614	0.1211566
3.0679446	3.94659342	0.1213855
3.0982834999999995	3.9546807	0.1211566
3.1286224	3.96292058	0.1213092
3.1589612000000002	3.97100786	0.1213855
3.1893001	3.97924773	0.1213092
3.2196389	3.9874876	0.1213092
3.2499778	3.99588006	0.1212329
3.2803166	4.00442512	0.1213092
3.3106554999999998	4.01297017	0.1213855
3.3409943	4.0218204	0.1213855
3.3713332	4.03021286	0.1213092
3.401672	4.03891051	0.1214618
3.4320109000000003	4.04760815	0.1213855
3.4623497	4.05630579	0.1213855
3.4926886	4.06500343	0.1210803
3.5230273999999997	4.07385367	0.1214618
3.5533663	4.0827039	0.1213092
3.5837051	4.09140154	0.1213855
3.6116519	4.09994659	0.1214618
