mAh	volts	mA
0.0	3.01380941	0.1206989
0.002237	3.02403296	0.1214618
0.0051836	3.03410391	0.1213092
0.008390400000000001	3.04432746	0.1211566
0.011920499999999999	3.05439841	0.1214618
0.015565200000000001	3.06446937	0.1213092
0.0193417	3.07454032	0.1213855
0.023229200000000002	3.08461128	0.1213092
0.0272669	3.09468223	0.1213092
0.0314506	3.10475319	0.1213855
0.035873	3.11482414	0.1211566
0.040377399999999994	3.12489509	0.1213855
0.0450981	3.13496605	0.1213092
0.0499712	3.145037	0.1213092
0.0549936	3.15510796	0.1213855
0.0601613	3.16517891	0.1212329
0.065507	3.17524987	0.1213855
0.0709832	3.18532082	0.1213855
0.07681	3.19539178	0.1213092
0.0827348	3.20546273	0.1214618
0.0888852	3.21553368	0.1213855
0.0952513	3.22560464	0.1213855
0.1018042	3.23582818	0.1213855
0.10859870000000002	3.24589914	0.1213855
0.1156134	3.25612268	0.1213855
0.12295129999999999	3.26619364	0.1213092
0.13036309999999998	3.27626459	0.1213092
0.13801190000000002	3.28633555	0.1214618
0.14597580000000002	3.2964065	0.1213092
0.1541302	3.30647745	0.1213855
0.16258940000000002	3.316701	0.12161440000000001
0.1715302	3.32692454	0.1212329
0.18063560000000004	3.3369955	0.1213855
0.19002880000000003	3.34706645	0.1214618
0.19967959999999998	3.35713741	0.1214618
0.2096719	3.36720836	0.1213855
0.220101	3.37727932	0.1212329
0.23076919999999998	3.38735027	0.1213855
0.2421189	3.39742123	0.1215381
0.2536372	3.40749218	0.1212329
0.2656389	3.41756313	0.1213855
0.2781031	3.42763409	0.1213092
0.2911687	3.43770504	0.1211566
0.3048994	3.44792859	0.1213855
0.3197692	3.45799954	0.1213092
0.3354564	3.4680705	0.1213855
0.3527971	3.47814145	0.1213092
0.3762972	3.48821241	0.1211566
0.406636	3.49523156	0.1213855
0.4369749	3.49980926	0.1214618
0.46731370000000005	3.50347143	0.1213092
0.4976526	3.50682841	0.1212329
0.5279914	3.51003281	0.1212329
0.5583303	3.51308461	0.1213855
0.5886691000000001	3.5164416	0.1213855
0.619008	3.52010376	0.1213855
0.6493468	3.52407111	0.1214618
0.6796856	3.5288014	0.1213092
0.7100245	3.53368429	0.1211566
0.7403633000000001	3.53933013	0.1214618
0.7707022	3.54528115	0.1213092
0.801041	3.55168994	0.1213855
0.8313799000000001	3.55840391	0.1213092
0.8617187	3.5648127	0.1213855
0.8920575	3.57106889	0.1214618
0.9223963999999999	3.57747768	0.1214618
0.9527353000000001	3.58388647	0.1213855
0.9830741000000001	3.59014267	0.1213855
1.0134130000000001	3.59563592	0.1213855
1.0437518	3.60112917	0.1213855
1.0740907	3.6069276	0.1213855
1.1044295	3.6130312	0.1213092
1.1347683999999998	3.61882963	0.1215381
1.1651072	3.62371252	0.1212329
1.195446	3.62767987	0.1212329
1.2257849	3.63103685	0.1214618
1.2561238000000001	3.63439384	0.1213855
1.2864626	3.63775082	0.1213855
1.3168015	3.64065003	0.1215381
1.3471403	3.64385443	0.1213092
1.3774792	3.64675364	0.1213092
1.407818	3.64965286	0.1215381
1.4381569	3.65224689	0.1213092
1.4684957	3.65514611	0.1215381
1.4988346	3.65774014	0.1213092
1.5291734	3.66048676	0.1213855
1.5595123000000002	3.66338598	0.1213855
1.5898510999999997	3.6661326	0.1214618
1.62019	3.66903182	0.12161440000000001
1.6505288	3.67193103	0.1213092
1.6808677	3.67513542	0.1212329
1.7112065	3.67849241	0.1215381
1.7415453	3.68154421	0.1213855
1.7718842000000001	3.68505379	0.1211566
1.802223	3.68871595	0.1213855
1.8325618	3.69253071	0.1215381
1.8629007	3.69649805	0.1214618
1.8932395	3.70061799	0.1212329
1.9235784	3.70458534	0.1213092
1.9539173	3.70885786	0.1211566
1.9842560999999999	3.71358816	0.1212329
2.014595	3.71831846	0.1214618
2.0449338	3.72304875	0.1214618
2.0752726000000004	3.72838941	0.1214618
2.1056115	3.73357748	0.1213092
2.1359502999999997	3.73922332	0.1213092
2.1662892	3.74486915	0.1214618
2.196628	3.75097276	0.1213855
2.2269667999999996	3.75722896	0.1214618
2.2573057	3.76379034	0.1213855
2.2876445000000003	3.7706569	0.1212329
2.3179834	3.77782864	0.1213092
2.3483222	3.78515297	0.1213855
2.3786611	3.79308766	0.1213855
2.4089999	3.80132753	0.1213092
2.4393388	3.81033036	0.1214618
2.4696776000000003	3.81963836	0.1213855
2.4999791	3.82970932	0.1211566
2.5300586999999997	3.83978027	0.1213855
2.5601356	3.84985122	0.1213092
2.5904743999999997	3.85946441	0.1214618
2.6208132999999996	3.86877241	0.1213855
2.6511521000000005	3.87777523	0.1215381
2.681491	3.88632029	0.1213855
2.7118298	3.89456016	0.1214618
2.7421687	3.90249485	0.1211566
2.7725075	3.91042954	0.12161440000000001
2.8028463	3.91836423	0.1213092
2.8331852000000004	3.92629892	0.1213092
2.863524	3.93408103	0.1214618
2.8938628000000004	3.9423209	0.1213092
2.9242017	3.95025559	0.1214618
2.9545405000000002	3.95834287	0.1212329
2.9848794	3.96643015	0.1215381
3.0152182	3.97467002	0.12161440000000001
3.045557	3.9829099	0.1212329
3.0758959000000003	3.99145495	0.1213855
3.1062346999999995	4.00015259	0.1213092
3.1365735999999997	4.00823987	0.1213855
3.1669125	4.01693751	0.1213092
3.1972513	4.02563516	0.1212329
3.2275901000000005	4.03402762	0.1211566
3.2579289	4.04287785	0.1214618
3.2882678000000003	4.05157549	0.1212329
3.3186066	4.06027314	0.1213855
3.3489455	4.06912337	0.1213092
3.3792842999999997	4.0779736	0.1211566
3.4096232	4.08682383	0.1214618
3.439962	4.09552148	0.1215381
3.4538164000000005	4.09994659	0.1213092
