mAh	volts	mA
0.0	3.01426719	0.1199359
0.001606	3.02433814	0.1212329
0.004409	3.03440909	0.1214618
0.007636699999999999	3.04448005	0.1213855
0.0111594	3.054551	0.1213855
0.014968900000000002	3.06462196	0.1213092
0.0189244	3.07469291	0.1213855
0.0230633	3.08476387	0.1214618
0.0273428	3.09483482	0.1213092
0.0318151	3.10490578	0.1211566
0.0365028	3.11497673	0.1212329
0.0413779	3.12504768	0.1215381
0.046444799999999994	3.13511864	0.1213092
0.0515855	3.14518959	0.1212329
0.056993999999999996	3.15526055	0.12161440000000001
0.0625126	3.1653315	0.1213855
0.0681506	3.17540246	0.1213092
0.0741341	3.18547341	0.1213092
0.0803144	3.19554437	0.1213855
0.08660910000000001	3.20561532	0.1213855
0.09317500000000001	3.21568627	0.1213855
0.0999093	3.22575723	0.1215381
0.10689969999999999	3.23582818	0.1212329
0.11405049999999999	3.24605173	0.1213855
0.1215715	3.25612268	0.1211566
0.1292098	3.26619364	0.1214618
0.1371869	3.27626459	0.1213092
0.145317	3.28633555	0.1216907
0.1537132	3.2964065	0.1213855
0.1624956	3.30647745	0.1215381
0.1714911	3.31654841	0.1212329
0.1808732	3.32661936	0.1213092
0.19038639999999998	3.33669032	0.1212329
0.2002449	3.34676127	0.1213855
0.21049169999999998	3.35683223	0.1214618
0.22116990000000003	3.36690318	0.1213092
0.2322723	3.37697414	0.1215381
0.2438253	3.38704509	0.1212329
0.25571380000000005	3.39711604	0.1212329
0.2680758	3.407187	0.1212329
0.2809102	3.41725795	0.1212329
0.2943186	3.42732891	0.1212329
0.30833790000000005	3.43739986	0.1214618
0.32337140000000003	3.44747082	0.1213855
0.33952519999999997	3.45754177	0.1212329
0.357858	3.46761273	0.1211566
0.38351820000000003	3.47768368	0.1213092
0.4138571	3.48348211	0.1213855
0.4441959	3.48683909	0.1213092
0.4745347	3.49034867	0.1214618
0.5048735999999999	3.49309529	0.1213855
0.5352124	3.49645228	0.1213092
0.5655513	3.49965667	0.1213855
0.5958901	3.50316625	0.1213855
0.626229	3.506981	0.1213092
0.6565678999999999	3.51140612	0.1215381
0.6869067	3.51613642	0.1214618
0.7172455	3.52117189	0.1213092
0.7475844	3.52712291	0.1213855
0.7779232000000001	3.53337911	0.1212329
0.8082621000000001	3.5397879	0.1212329
0.8386009	3.5460441	0.1214618
0.8689397999999999	3.55245289	0.1213092
0.8992785999999999	3.5585565	0.1212329
0.9296175000000001	3.56511788	0.1213092
0.9599563000000001	3.57167926	0.1213855
0.9902952	3.57732509	0.1212329
1.0206339999999998	3.58312352	0.1213092
1.0509727999999998	3.588159	0.1213092
1.0813116999999999	3.59395743	0.1213855
1.1116506	3.59990845	0.1214618
1.1419894000000002	3.60585946	0.1213092
1.1723283	3.61043717	0.1213855
1.2026671	3.61425193	0.1214618
1.2330059	3.61745632	0.1213092
1.2633447999999998	3.62035554	0.1213855
1.2936836	3.62310216	0.1213092
1.3240224999999999	3.62630655	0.1211566
1.3543614000000002	3.62890059	0.1213855
1.3847002	3.63134203	0.1212329
1.4150391000000002	3.63408865	0.1213092
1.4453779000000002	3.6365301	0.1212329
1.4757168	3.63836118	0.1212329
1.5060556	3.64080262	0.1213855
1.5363945	3.64293889	0.1214618
1.5667332999999999	3.64507515	0.1214618
1.5970720999999999	3.64751659	0.1213092
1.627411	3.64965286	0.1213855
1.6577498000000002	3.65194171	0.1215381
1.6880887	3.65423056	0.1212329
1.7184276	3.65651942	0.1213855
1.7487664	3.65911345	0.1213092
1.7791053	3.66124971	0.1212329
1.8094440999999999	3.66399634	0.1213855
1.8397829	3.66643778	0.1213092
1.8701218	3.669337	0.1212329
1.9004606000000002	3.67223621	0.1215381
1.9307995000000002	3.67528801	0.1211566
1.9611384	3.67833982	0.1213092
1.9914771999999998	3.68123903	0.1213855
2.0218160999999997	3.68459602	0.1215381
2.0521549	3.687953	0.1213092
2.0824938000000004	3.69161517	0.1213092
2.1128326	3.69558251	0.1214618
2.1431715	3.69939727	0.1211566
2.1735103000000002	3.7035172	0.1213855
2.2038492	3.70748455	0.1215381
2.2341879999999996	3.71221485	0.1213855
2.2645269	3.71694514	0.1213855
2.2948657	3.72198062	0.1214618
2.3252045000000003	3.72747387	0.1214618
2.3555434	3.73311971	0.1213855
2.3858823000000005	3.73922332	0.1213092
2.4162210999999996	3.74593729	0.1214618
2.44656	3.75326162	0.1212329
2.4768989	3.76119631	0.1212329
2.5072377	3.76943618	0.1213092
2.5375766	3.778439	0.1213855
2.5679154	3.78728923	0.1213855
