mAh	volts	mA
0.0	3.0171664	0.12031739999999999
0.0020515999999999998	3.02723735	0.1212329
0.0047466999999999995	3.03730831	0.1213855
0.007631299999999999	3.04737926	0.1213855
0.0107498	3.05745022	0.1212329
0.0139286	3.06752117	0.1213092
0.0172325	3.07759213	0.1211566
0.020710700000000002	3.08766308	0.1213092
0.0242115	3.09773404	0.1213855
0.027923899999999998	3.10780499	0.1215381
0.0318151	3.11787594	0.1213092
0.0358481	3.1279469	0.1213092
0.0400224	3.13801785	0.1213855
0.0442617	3.14808881	0.1213855
0.048736400000000006	3.15815976	0.1213855
0.053372100000000006	3.16823072	0.1213855
0.058165299999999996	3.17830167	0.1212329
0.0631817	3.18837263	0.1213092
0.0683353	3.19844358	0.1211566
0.0736665	3.20851453	0.1213092
0.0792138	3.21858549	0.1212329
0.0849754	3.22880903	0.1212329
0.09095790000000001	3.23887999	0.1212329
0.0971454	3.24895094	0.1212329
0.10358020000000001	3.2590219	0.1214618
0.1100994	3.26909285	0.1215381
0.11700379999999999	3.27916381	0.1214618
0.12404309999999999	3.28923476	0.1211566
0.1314229	3.2994583	0.1213092
0.13905340000000002	3.30952926	0.1213092
0.14705110000000002	3.31960021	0.1212329
0.1551232	3.32967117	0.1213092
0.1634668	3.33974212	0.1213855
0.17219630000000002	3.34981308	0.1210803
0.18118	3.35988403	0.1211566
0.1905041	3.36995499	0.1213092
0.2003302	3.38002594	0.1213855
0.210465	3.39009689	0.1213092
0.22089389999999998	3.40016785	0.1213855
0.2316793	3.4102388	0.1211566
0.2427924	3.42030976	0.1213092
0.2546199	3.43038071	0.1212329
0.2668741	3.44045167	0.1212329
0.27980689999999997	3.45052262	0.1214618
0.2933495	3.46059358	0.1212329
0.30754570000000003	3.47066453	0.1212329
0.32286750000000003	3.48073548	0.1216907
0.34013099999999996	3.49080644	0.1213092
0.3641876	3.50087739	0.1214618
0.39452650000000006	3.50743877	0.1215381
0.4248653	3.51201648	0.1214618
0.45520419999999995	3.51583124	0.1213855
0.485543	3.51903563	0.1212329
0.5158819	3.52208743	0.1214618
0.5462207	3.52513924	0.1214618
0.5765595	3.52864881	0.1213855
0.6068984	3.53246357	0.1213092
0.6372373	3.53688869	0.1215381
0.6675761	3.54161898	0.1212329
0.6979150000000001	3.54726482	0.1213092
0.7282538000000001	3.55336843	0.1213855
0.7585926	3.5600824	0.1213855
0.7889314999999999	3.56679637	0.1213092
0.8192704	3.57351034	0.1213855
0.8496092	3.57991913	0.1214618
0.8799481	3.5866331	0.1213092
0.910287	3.59349966	0.1213092
0.9406258	3.60006104	0.1213092
0.9709647	3.60601205	0.1213855
1.0013035	3.61165789	0.1215381
1.0316424	3.61730373	0.1214618
1.0619812	3.62371252	0.1212329
1.09232	3.6302739	0.1213855
1.1226589	3.63622492	0.1213855
1.1529978	3.64065003	0.1214618
1.1833366	3.6443122	0.1213855
1.2136755	3.64797436	0.1212329
1.2440144	3.65194171	0.12161440000000001
1.2743532	3.65560388	0.1214618
1.3046921	3.65926604	0.1211566
1.3350309	3.66277562	0.1213092
1.3653697	3.6661326	0.1212329
1.3957085999999999	3.66964218	0.1213855
1.4260475	3.67299916	0.1213855
1.4563863000000001	3.67666133	0.1214618
1.4867251999999997	3.6801709	0.1215381
1.517064	3.68383307	0.1213855
1.5474029	3.68749523	0.1213855
1.5777417999999999	3.69130999	0.1213092
1.6080806	3.69542992	0.1212329
1.6384195000000001	3.69985504	0.1214618
1.6687583	3.70412757	0.1213092
1.6990971	3.70855268	0.1213855
1.7294359	3.71343557	0.1214618
1.7597748	3.71831846	0.1212329
1.7901136999999998	3.72320134	0.1212329
1.8204525	3.72869459	0.1213855
1.8507914000000003	3.73388266	0.1214618
1.8811301999999999	3.73968109	0.1213092
1.9114691000000001	3.7456321	0.1213855
1.9418079000000001	3.75173571	0.1213092
1.9721467	3.75768673	0.1213855
2.0024856	3.76424811	0.1214618
2.0328244	3.77080949	0.1212329
2.0631633	3.77767605	0.1213092
2.0935021	3.78454261	0.1215381
2.123841	3.79156176	0.1214618
2.1541798	3.79888609	0.1214618
2.1845185999999996	3.80636301	0.1212329
2.2148575	3.81383993	0.1213092
2.2451963000000004	3.82177462	0.1212329
2.2755351	3.82986191	0.1212329
2.3058739999999998	3.83840696	0.1213092
2.3362128	3.84695201	0.1213855
2.3665517	3.8564126	0.1212329
2.3968904999999996	3.86572061	0.1213092
2.4261793	3.87594415	0.1213855
2.4544278000000004	3.88601511	0.1213092
2.4812001	3.89608606	0.1213092
2.5074463000000002	3.90615702	0.1214618
2.5345705	3.91622797	0.1214618
2.5640181	3.92629892	0.1213855
2.5943570000000005	3.93560693	0.1213855
2.6246958	3.94460975	0.1212329
2.6550346000000005	3.95284962	0.1213855
2.6853735	3.96124208	0.1211566
2.7157123	3.96948196	0.1213855
2.7460511999999997	3.97772183	0.1213855
2.77639	3.98626688	0.1213855
2.8067289	3.99450675	0.1213855
2.8370678000000003	4.00289921	0.1213855
2.8674066	4.01159686	0.1213092
2.8977455	4.02014191	0.1212329
2.9280842999999996	4.02883955	0.1213855
2.9584232	4.03753719	0.1213855
2.9887620000000004	4.04638743	0.1215381
3.0191009	4.05508507	0.1212329
3.0494396999999993	4.06408789	0.1213092
3.0797785999999996	4.07278553	0.1213855
3.1101174	4.08178836	0.1213855
3.1404563	4.090486	0.1214618
3.1707951000000003	4.09948882	0.1212329
3.1718381	4.09994659	0.1213855
