volts	mAhg
0.18844892	58.11551422
0.18814374	58.38738414
0.18738079	58.65925405
0.18661784	58.93112397
0.18616007	59.20299389
0.18554971	59.47486381
0.18509194	59.74673372
0.18432898	60.01859655
0.18387121	60.29046647
0.18295567	60.56233638
0.18265049	60.8342063
0.18173495	61.10607622
0.18112459	61.37794614
0.18051423	61.64981606
0.17959869	61.92167888
0.17914092	62.1935488
0.17853056	62.46541872
0.1779202	62.73728863
0.17730983	63.00915855
0.17639429	63.28102847
0.17578393	63.55289839
0.17517357	63.82476121
0.1747158	64.09663113
0.17395285	64.36850105
0.17349508	64.64037097
0.17273213	64.91224088
0.17212177	65.1841108
0.171664	65.45598072
0.17105364	65.72784355
0.17044327	65.99971346
0.16983291	66.27158338
0.16922255	66.5434533
0.16861219	66.81532322
0.16815442	67.08719313
0.16754406	67.35906305
0.16708629	67.63092588
0.16647593	67.90279579
0.16571298	68.17466571
0.16525521	68.44653563
0.16464485	68.71840555
0.16403449	68.99027547
0.16357671	69.26214538
0.16281376	69.53400821
0.1622034	69.80587813
0.16128786	70.07774804
0.16083009	70.34961796
0.16021973	70.62148788
0.15960937	70.8933578
0.15869383	71.16522772
0.15823606	71.43709054
0.1576257	71.70896046
0.15686275	71.98083038
0.15609979	72.25270029
0.15548943	72.52457021
0.15472648	72.79644013
0.15396353	73.06831005
0.15350576	73.34017287
0.15274281	73.61204279
0.15228504	73.88391271
0.15152209	74.15578263
0.15121691	74.42765254
0.15060655	74.69952246
0.15014878	74.97138529
0.1498436	75.2432552
0.14938582	75.51512512
0.14908064	75.78699504
0.14892805	76.05886496
0.14831769	76.33073488
0.14785992	76.60260479
0.14755474	76.87446762
0.14709697	77.14633754
0.14679179	77.41820745
0.14633402	77.69007737
0.14572366	77.96194729
0.14541848	78.23381721
0.1451133	78.50568713
0.14450294	78.77754995
0.14389258	79.04941987
0.14343481	79.32128979
0.14297704	79.5931597
0.14251926	79.86502962
0.1419089	80.13689954
0.14145113	80.40876946
0.14053559	80.68063228
0.14023041	80.9525022
0.13962005	81.22437212
0.13900969	81.49624204
0.13839933	81.76811195
0.13778897	82.03998187
0.13717861	82.31185179
0.13626307	82.58371461
0.13580529	82.85558453
0.13519493	83.12745445
0.13458457	83.39932437
0.13382162	83.67119429
0.13305867	83.9430642
0.1326009	84.21493412
0.13199054	84.48679695
0.13122759	84.75866686
0.13061723	85.03053678
0.13000687	85.3024067
0.12939651	85.57427662
0.12893874	85.84614654
0.12878614	86.11801645
0.12802319	86.38987928
0.12817578	86.6617492
0.12771801	86.93361911
0.12756542	87.20548903
0.12741283	87.47735895
0.12726024	87.74922887
0.12710765	88.02109879
0.12710765	88.29296161
0.12680247	88.56483153
0.12664988	88.83670145
0.12649729	89.10857136
0.12649729	89.38044128
0.1263447	89.6523112
0.12619211	89.92418112
0.12603952	90.19604394
0.12588693	90.46791386
0.12588693	90.73978378
0.12588693	91.0116537
0.12542916	91.28352361
0.12542916	91.55539353
0.12527657	91.82725636
0.12512398	92.09912627
0.12512398	92.37099619
0.1248188	92.64286611
0.12497139	92.91473603
0.12466621	93.18660595
0.12451362	93.45847586
0.12451362	93.73033869
0.12436103	94.00220861
0.12405585	94.27407852
0.12390326	94.54594844
0.12375067	94.81781836
0.12375067	95.08968828
0.1232929	95.3615582
0.12314031	95.63342102
0.12298772	95.90529094
0.12283513	96.17716086
0.12268254	96.44903077
0.12252995	96.72090069
0.12237736	96.99277061
0.12222477	97.26464053
0.12207218	97.53650335
0.12207218	97.80837327
0.12176699	98.08024319
0.12176699	98.35211311
0.1216144	98.62398302
0.12146181	98.89585294
0.12146181	99.16772286
0.12130922	99.43958568
0.12115663	99.7114556
0.12100404	99.98332552
0.12100404	100.2551954
0.12085145	100.5270654
0.12069886	100.7989353
0.12069886	101.0708052
0.12054627	101.342668
0.12054627	101.6145379
0.12054627	101.8864079
0.12024109	102.1582778
0.1200885	102.4301477
0.12024109	102.7020176
0.11993591	102.9738875
0.11947814	103.2457503
0.11963073	103.5176203
0.11947814	103.7894902
0.11947814	104.0613601
0.11932555	104.33323
0.11932555	104.6050999
0.11932555	104.8769699
0.11917296	105.1488327
0.11902037	105.4207026
0.11902037	105.6925725
0.11917296	105.9644424
0.11886778	106.2363124
0.11886778	106.5081823
0.11886778	106.7800522
0.11871519	107.051915
0.11871519	107.3237849
0.11886778	107.5956548
0.11871519	107.8675248
0.11886778	108.1393947
0.11871519	108.4112646
0.1185626	108.6831345
0.1185626	108.9549973
0.1185626	109.2268673
0.1185626	109.4987372
0.1185626	109.7706071
0.11825742	110.042477
0.1185626	110.3143469
0.11825742	110.5862098
0.11825742	110.8580797
0.11810483	111.1299496
0.11825742	111.4018195
0.11810483	111.6736894
0.11810483	111.9455593
0.11795224	112.2174293
0.11810483	112.4892921
0.11795224	112.761162
0.11810483	113.0330319
0.11795224	113.3049018
0.11795224	113.5767718
0.11795224	113.8486417
0.11779965	114.1205116
0.11795224	114.3923744
0.11795224	114.6642443
0.11795224	114.9361143
0.11795224	115.2079842
0.11779965	115.4798541
0.11795224	115.751724
0.11779965	116.0235939
0.11779965	116.2954568
0.11779965	116.5673267
0.11779965	116.8391966
0.11779965	117.1110665
0.11764706	117.3829364
0.11764706	117.6548063
0.11764706	117.9266763
0.11779965	118.1985391
0.11764706	118.470409
0.11749447	118.7422789
0.11764706	119.0141488
0.11749447	119.2860188
0.11749447	119.5578887
0.11764706	119.8297586
0.11749447	120.1016214
0.11749447	120.3734913
0.11749447	120.6453613
0.11734188	120.9172312
0.11749447	121.1891011
0.11749447	121.460971
0.11749447	121.7328409
0.11734188	122.0047037
0.11734188	122.2765737
0.11734188	122.5484436
0.11734188	122.8203135
0.11749447	123.0921834
0.11734188	123.3640533
0.11718929	123.6359233
0.11734188	123.9077861
0.11718929	124.179656
0.1170367	124.4515259
0.11718929	124.7233958
0.11718929	124.9952658
0.11718929	125.2671357
0.11718929	125.5390056
0.1170367	125.8108684
0.11734188	126.0827383
0.11718929	126.3546082
0.1170367	126.6264782
0.1170367	126.8983481
0.11718929	127.170218
0.1170367	127.4420879
0.1170367	127.7139507
0.1170367	127.9858207
0.1170367	128.2576906
0.1170367	128.5295605
0.1170367	128.8014304
0.1170367	129.0733003
0.1170367	129.3451703
0.1170367	129.6170331
0.11688411	129.888903
0.11688411	130.1607729
0.11688411	130.4326428
0.11673152	130.7045127
0.11688411	130.9763827
0.1170367	131.2482526
0.11688411	131.5201154
0.11688411	131.7919853
0.11688411	132.0638552
0.11688411	132.3357252
0.11688411	132.6075951
0.11673152	132.879465
0.11673152	133.1513278
0.11673152	133.4231977
0.11673152	133.6950677
0.11657893	133.9669376
0.11673152	134.2388075
0.11642634	134.5106774
0.11657893	134.7825473
0.11657893	135.0544102
0.11642634	135.3262801
0.11657893	135.59815
0.11673152	135.8700199
0.11642634	136.1418898
0.11657893	136.4137597
0.11642634	136.6856297
0.11657893	136.9574925
0.11657893	137.2293624
0.11627375	137.5012323
0.11642634	137.7731022
0.11657893	138.0449722
0.11642634	138.3168421
0.11657893	138.588712
0.11642634	138.8605748
0.11612116	139.1324447
0.11612116	139.4043147
0.11612116	139.6761846
0.11627375	139.9480545
0.11627375	140.2199244
0.11627375	140.4917943
0.11627375	140.7636572
0.11612116	141.0355271
0.11596857	141.307397
0.11612116	141.5792669
0.11627375	141.8511368
0.11596857	142.1230067
0.11612116	142.3948767
0.11596857	142.6667395
0.11581598	142.9386094
0.11581598	143.2104793
0.11581598	143.4823492
0.11596857	143.7542192
0.11596857	144.0260891
0.11581598	144.297959
0.11581598	144.5698218
0.11581598	144.8416917
0.11566339	145.1135617
0.11581598	145.3854316
0.11566339	145.6573015
0.11566339	145.9291714
0.11566339	146.2010413
0.1155108	146.4729041
0.11566339	146.7447741
0.11566339	147.016644
0.11566339	147.2885139
0.1155108	147.5603838
0.1155108	147.8322537
0.1155108	148.1041166
0.1155108	148.3759865
0.1155108	148.6478564
0.11535821	148.9197263
0.11535821	149.1915962
0.1155108	149.4634661
0.11535821	149.7353361
0.11535821	150.0071989
0.11535821	150.2790688
0.11520562	150.5509387
0.11535821	150.8228086
0.11535821	151.0946786
0.11520562	151.3665485
0.11535821	151.6384184
0.11535821	151.9102812
0.11520562	152.1821511
0.11520562	152.4540211
0.11505303	152.725891
0.11505303	152.9977609
0.11505303	153.2696308
0.11505303	153.5415007
0.11490043	153.8133636
0.11505303	154.0852335
0.11505303	154.3571034
0.11490043	154.6289733
0.11490043	154.9008432
0.11490043	155.1727131
0.11490043	155.4445831
0.11474784	155.7164459
0.11490043	155.9883158
0.11490043	156.2601857
0.11474784	156.5320556
0.11474784	156.8039256
0.11490043	157.0757955
0.11474784	157.3476654
0.11474784	157.6195282
0.11459525	157.8913981
0.11459525	158.1632681
0.11459525	158.435138
0.11459525	158.7070079
0.11459525	158.9788778
0.11459525	159.2507477
0.11429007	159.5226106
0.11444266	159.7944805
0.11444266	160.0663504
0.11429007	160.3382203
0.11429007	160.6100902
0.11413748	160.8819601
0.11429007	161.1538301
0.11413748	161.4256929
0.11413748	161.6975628
0.11413748	161.9694327
0.11398489	162.2413026
0.1138323	162.5131726
0.1138323	162.7850425
0.1138323	163.0569124
0.1138323	163.3287752
0.11367971	163.6006451
0.11367971	163.8725151
0.11367971	164.144385
0.11367971	164.4162549
0.11352712	164.6881248
0.11337453	164.9599947
0.11352712	165.2318575
0.11337453	165.5037275
0.11337453	165.7755974
0.11322194	166.0474673
0.11306935	166.3193372
0.11322194	166.5912071
0.11306935	166.8630771
0.11291676	167.1349399
0.11291676	167.4068098
0.11291676	167.6786797
0.11276417	167.9505496
0.11261158	168.2224196
0.11245899	168.4942895
0.11245899	168.7661523
0.1123064	169.0380222
0.1123064	169.3098921
0.11215381	169.581762
0.11215381	169.853632
0.11215381	170.1255019
0.11200122	170.3973718
0.11184863	170.6692346
0.11169604	170.9411045
0.11184863	171.2129745
0.11169604	171.4848444
0.11154345	171.7567143
0.11139086	172.0285842
0.11139086	172.3004541
0.11139086	172.572317
0.11123827	172.8441869
0.11108568	173.1160568
0.11108568	173.3879267
0.1107805	173.6597966
0.11062791	173.9316665
0.11047532	174.2035365
0.11032273	174.4753993
0.11032273	174.7472692
0.11032273	175.0191391
0.11001755	175.291009
0.10986496	175.562879
0.10971237	175.8347489
0.10940719	176.1066188
0.10940719	176.3784816
0.1092546	176.6503515
0.10879683	176.9222215
0.10849165	177.1940914
0.10849165	177.4659613
0.10833906	177.7378312
0.10818647	178.0097011
0.10788128	178.281564
0.10772869	178.5534339
0.1075761	178.8253038
0.10742351	179.0971737
0.10727092	179.3690436
0.10681315	179.6409135
0.10650797	179.9127835
0.10635538	180.1846463
0.1060502	180.4565162
0.10574502	180.7283861
0.10513466	181.000256
0.10513466	181.272126
0.10467689	181.5439959
0.10437171	181.8158658
0.10406653	182.0877286
0.10360876	182.3595985
0.10330358	182.6314685
0.10269322	182.9033384
0.10238804	183.1752083
0.10177768	183.4470782
0.10131991	183.718941
0.10086213	183.9908109
0.10025177	184.2626809
0.09964141	184.5345508
0.09918364	184.8064207
0.09857328	185.0782906
0.09796292	185.3501605
0.09735256	185.6220234
0.09689479	185.8938933
0.09613184	186.1657632
0.09552148	186.4376331
0.09475853	186.709503
0.09399557	186.981373
0.09338521	187.2532429
0.09292744	187.5251057
0.09216449	187.7969756
0.09124895	188.0688455
0.09063859	188.3407154
0.09018082	188.6125854
0.08957046	188.8844553
0.0889601	189.1563252
0.08834974	189.428188
0.08804456	189.7000579
0.08728161	189.9719279
0.08697642	190.2437978
0.08651865	190.5156677
0.08621347	190.7875376
0.0857557	191.0594075
0.08545052	191.3312704
0.08514534	191.6031403
0.08484016	191.8750102
0.08453498	192.1468801
0.08438239	192.41875
0.08392462	192.6906199
0.08392462	192.9624899
0.08361944	193.2343527
0.08331426	193.5062226
0.08331426	193.7780925
0.08316167	194.0499624
0.08316167	194.3218324
0.08300908	194.5937023
0.08300908	194.8655722
0.08285649	195.137435
0.08285649	195.4093049
0.08285649	195.6811749
0.08285649	195.9530448
0.0827039	196.2249147
0.08285649	196.4967846
0.08285649	196.7686545
0.08285649	197.0405174
0.08285649	197.3123873
0.08285649	197.5842572
0.08300908	197.8561271
0.08285649	198.127997
0.08316167	198.3998669
0.08316167	198.6717369
0.08300908	198.9435997
0.08300908	199.2154696
0.08300908	199.4873395
0.08316167	199.7592094
0.08316167	200.0310794
0.08316167	200.3029493
0.08331426	200.5748121
0.08300908	200.846682
0.08316167	201.1185519
0.08331426	201.3904219
0.08331426	201.6622918
0.08316167	201.9341617
0.08331426	202.2060316
0.08331426	202.4778944
0.08331426	202.7497644
0.08331426	203.0216343
0.08331426	203.2935042
0.08346685	203.5653741
0.08331426	203.837244
0.08331426	204.1091139
0.08361944	204.3809768
0.08346685	204.6528467
0.08331426	204.9247166
0.08331426	205.1965865
0.08346685	205.4684564
0.08331426	205.7403264
0.08346685	206.0121963
0.08331426	206.2840591
0.08346685	206.555929
0.08346685	206.8277989
0.08346685	207.0996689
0.08346685	207.3715388
0.08331426	207.6434087
0.08346685	207.9152786
0.08346685	208.1871414
0.08346685	208.4590113
0.08346685	208.7308813
0.08346685	209.0027512
0.08346685	209.2746211
0.08346685	209.546491
0.08346685	209.8183609
0.08346685	210.0902238
0.08346685	210.3620937
0.08346685	210.6339636
0.08346685	210.9058335
0.08331426	211.1777034
0.08346685	211.4495734
0.08346685	211.7214433
0.08346685	211.9933061
0.08331426	212.265176
0.08346685	212.5370459
0.08346685	212.8089158
0.08346685	213.0807858
0.08346685	213.3526557
0.08331426	213.6245256
0.08346685	213.8963884
0.08346685	214.1682583
0.08346685	214.4401283
0.08346685	214.7119982
0.08331426	214.9838681
0.08331426	215.255738
0.08331426	215.5276079
0.08346685	215.7994708
0.08331426	216.0713407
0.08346685	216.3432106
0.08331426	216.6150805
0.08331426	216.8869504
0.08331426	217.1588203
0.08331426	217.4306903
0.08346685	217.7025531
0.08346685	217.974423
0.08331426	218.2462929
0.08331426	218.5181628
0.08331426	218.7900328
0.08331426	219.0619027
0.08346685	219.3337726
0.08316167	219.6056354
0.08331426	219.8775053
0.08331426	220.1493753
0.08316167	220.4212452
0.08331426	220.6931151
0.08331426	220.964985
0.08346685	221.2368478
0.08346685	221.5087178
0.08331426	221.7805877
0.08331426	222.0524576
0.08346685	222.3243275
0.08331426	222.5961974
0.08331426	222.8680673
0.08331426	223.1399302
0.08316167	223.4118001
0.08316167	223.68367
0.08316167	223.9555399
0.08316167	224.2274098
0.08331426	224.4992798
0.08331426	224.7711497
0.08316167	225.0430125
0.08331426	225.3148824
0.08331426	225.5867523
0.08346685	225.8586223
0.08331426	226.1304922
0.08331426	226.4023621
0.08316167	226.674232
0.08316167	226.9460948
0.08316167	227.2179647
0.08331426	227.4898347
0.08331426	227.7617046
0.08331426	228.0335745
0.08331426	228.3054444
0.08331426	228.5773143
0.08331426	228.8491772
0.08316167	229.1210471
0.08300908	229.392917
0.08316167	229.6647869
0.08316167	229.9366568
0.08316167	230.2085268
0.08316167	230.4803967
0.08316167	230.7522595
0.08316167	231.0241294
0.08331426	231.2959993
0.08316167	231.5678692
0.08316167	231.8397392
0.08316167	232.1116091
0.08316167	232.383479
0.08316167	232.6553418
0.08316167	232.9272117
0.08316167	233.1990817
0.08316167	233.4709516
0.08316167	233.7428215
0.08316167	234.0146914
0.08331426	234.2865613
0.08316167	234.5584242
0.08316167	234.8302941
0.08316167	235.102164
0.08316167	235.3740339
0.08316167	235.6459038
0.08300908	235.9177737
0.08300908	236.1896437
0.08300908	236.4615065
0.08300908	236.7333764
0.08300908	237.0052463
0.08316167	237.2771162
0.08316167	237.5489862
0.08316167	237.8208561
0.08316167	238.0927189
0.08316167	238.3645888
0.08316167	238.6364587
0.08300908	238.9083287
0.08300908	239.1801986
0.08316167	239.4520685
0.08316167	239.7239384
0.08300908	239.9958012
0.08316167	240.2676712
0.08300908	240.5395411
0.08300908	240.811411
0.08316167	241.0832809
0.08300908	241.3551508
0.08316167	241.6270207
0.08300908	241.8988836
0.08300908	242.1707535
0.08300908	242.4426234
0.08300908	242.7144933
0.08316167	242.9863632
0.08300908	243.2582332
0.08300908	243.5301031
0.08300908	243.8019659
0.08300908	244.0738358
0.08300908	244.3457057
0.08300908	244.6175757
0.08300908	244.8894456
0.08300908	245.1613155
0.08316167	245.4331854
0.08285649	245.7050482
0.08285649	245.9769182
0.08300908	246.2487881
0.08316167	246.520658
0.08300908	246.7925279
0.08285649	247.0643978
0.08300908	247.3362677
0.0827039	247.6081306
0.08285649	247.8800005
0.08300908	248.1518704
0.08285649	248.4237403
0.08285649	248.6956102
0.08285649	248.9674802
0.08285649	249.2393501
0.08285649	249.5112129
0.08285649	249.7830828
0.08300908	250.0549527
0.08285649	250.3268226
0.08285649	250.5986926
0.08285649	250.8705625
0.08300908	251.1424324
0.08285649	251.4142952
0.08285649	251.6861651
0.08285649	251.9580351
0.0827039	252.229905
0.08300908	252.5017749
0.08285649	252.7736448
0.08285649	253.0455147
0.08300908	253.3173776
0.0827039	253.5892475
0.08285649	253.8611174
0.0827039	254.1329873
0.08285649	254.4048572
0.08285649	254.6767271
0.08300908	254.9485971
0.08285649	255.2204599
0.08285649	255.4923298
0.08300908	255.7641997
0.0827039	256.0360696
0.08285649	256.3079396
0.0827039	256.5798095
0.0827039	256.8516794
0.08285649	257.1235422
0.08285649	257.3954121
0.0827039	257.6672821
0.08255131	257.939152
0.0827039	258.2110219
0.08285649	258.4828918
0.08300908	258.7547546
0.0827039	259.0266246
0.0827039	259.2984945
0.08285649	259.5703644
0.0827039	259.8422343
0.08285649	260.1141042
0.08285649	260.3859741
0.0827039	260.657837
0.0827039	260.9297069
0.0827039	261.2015768
0.0827039	261.4734467
0.0827039	261.7453166
0.08255131	262.0171866
0.0827039	262.2890565
0.0827039	262.5609193
0.0827039	262.8327892
0.08285649	263.1046591
0.0827039	263.3765291
0.0827039	263.648399
0.0827039	263.9202689
0.08255131	264.1921388
0.0827039	264.4640016
0.0827039	264.7358716
0.0827039	265.0077415
0.0827039	265.2796114
0.08255131	265.5514813
0.08255131	265.8233512
0.0827039	266.0952211
0.08255131	266.367084
0.0827039	266.6389539
0.0827039	266.9108238
0.0827039	267.1826937
0.08255131	267.4545636
0.08255131	267.7264336
0.08255131	267.9983035
0.08255131	268.2701663
0.08255131	268.5420362
0.08255131	268.8139061
0.08255131	269.0857761
0.08255131	269.357646
0.08255131	269.6295159
0.08255131	269.9013858
0.08255131	270.1732486
0.08255131	270.4451185
0.08255131	270.7169885
0.08255131	270.9888584
0.08255131	271.2607283
0.08255131	271.5325982
0.08255131	271.8044681
0.0827039	272.076331
0.08239872	272.3482009
0.08239872	272.6200708
0.08255131	272.8919407
0.08255131	273.1638106
0.08255131	273.4356806
0.08239872	273.7075505
0.08255131	273.9794133
0.08255131	274.2512832
0.08255131	274.5231531
0.08255131	274.795023
0.08239872	275.066893
0.08255131	275.3387629
0.08239872	275.6106328
0.08239872	275.8824956
0.08255131	276.1543655
0.08255131	276.4262355
0.08239872	276.6981054
0.08255131	276.9699753
0.08239872	277.2418452
0.08255131	277.513708
0.08255131	277.785578
0.08239872	278.0574479
0.08255131	278.3293178
0.08239872	278.6011877
0.08255131	278.8730576
0.08239872	279.1449275
0.08255131	279.4167904
0.08239872	279.6886603
0.08224613	279.9605302
0.08239872	280.2324001
0.08255131	280.50427
0.08239872	280.77614
0.08239872	281.0480099
0.08239872	281.3198727
0.08255131	281.5917426
0.08255131	281.8636125
0.08239872	282.1354825
0.08239872	282.4073524
0.08255131	282.6792223
0.08224613	282.9510922
0.08224613	283.222955
0.08239872	283.494825
0.08239872	283.7666949
0.08239872	284.0385648
0.08239872	284.3104347
0.08239872	284.5823046
0.08239872	284.8541745
0.08239872	285.1260374
0.08239872	285.3979073
0.08239872	285.6697772
0.08224613	285.9416471
0.08224613	286.213517
0.08239872	286.485387
0.08224613	286.7572569
0.08224613	287.0291197
0.08209354	287.3009896
0.08239872	287.5728595
0.08224613	287.8447295
0.08239872	288.1165994
0.08224613	288.3884693
0.08224613	288.6603392
0.08224613	288.932202
0.08224613	289.2040719
0.08224613	289.4759419
0.08209354	289.7478118
0.08209354	290.0196817
0.08209354	290.2915516
0.08209354	290.5634215
0.08209354	290.8352844
0.08209354	291.1071543
0.08209354	291.3790242
0.08209354	291.6508941
0.08224613	291.922764
0.08209354	292.194634
0.08209354	292.4665039
0.08209354	292.7383667
0.08224613	293.0102366
0.08209354	293.2821065
0.08224613	293.5539764
0.08194095	293.8258464
0.08209354	294.0977163
0.08209354	294.3695862
0.08209354	294.641449
0.08209354	294.9133189
0.08209354	295.1851889
0.08194095	295.4570588
0.08194095	295.7289287
0.08209354	296.0007986
0.08209354	296.2726685
0.08194095	296.5445314
0.08194095	296.8164013
0.08209354	297.0882712
0.08178836	297.3601411
0.08194095	297.632011
0.08194095	297.9038809
0.08194095	298.1757438
0.08194095	298.4476137
0.08194095	298.7194836
0.08194095	298.9913535
0.08194095	299.2632234
0.08194095	299.5350934
0.08194095	299.8069633
0.08194095	300.0788261
0.08194095	300.350696
0.08178836	300.6225659
0.08178836	300.8944359
0.08178836	301.1663058
0.08163577	301.4381757
0.08163577	301.7100456
0.08194095	301.9819084
0.08163577	302.2537784
0.08163577	302.5256483
0.08163577	302.7975182
0.08178836	303.0693881
0.08148318	303.341258
0.08163577	303.6131279
0.08163577	303.8849908
0.08163577	304.1568607
0.08148318	304.4287306
0.08163577	304.7006005
0.08148318	304.9724704
0.08163577	305.2443404
0.08133059	305.5162103
0.08148318	305.7880731
0.08148318	306.059943
0.08133059	306.3318129
0.08133059	306.6036829
0.08133059	306.8755528
0.081178	307.1474227
0.081178	307.4192926
0.081178	307.6911554
0.081178	307.9630254
0.081178	308.2348953
0.081178	308.5067652
0.081178	308.7786351
0.081178	309.050505
0.08102541	309.3223749
0.08102541	309.5942378
0.08087282	309.8661077
0.08087282	310.1379776
0.08102541	310.4098475
0.08072023	310.6817174
0.08072023	310.9535874
0.08072023	311.2254573
0.08041505	311.4973201
0.08072023	311.76919
0.08056764	312.0410599
0.08056764	312.3129299
0.08041505	312.5847998
0.08026246	312.8566697
0.08041505	313.1285396
