mAh	volts	mA
0.0	3.01579309	0.1194018
0.0021646	3.02586404	0.1213855
0.004979	3.035935	0.1213855
0.007995	3.04600595	0.1213855
0.0112467	3.05607691	0.1213092
0.014640899999999998	3.06630045	0.1215381
0.0182307	3.0763714	0.1212329
0.0218605	3.08644236	0.1214618
0.0256923	3.09651331	0.1213092
0.029669400000000002	3.10658427	0.1213092
0.033789099999999996	3.11665522	0.1213092
0.038034799999999994	3.12672618	0.1213092
0.0424751	3.13679713	0.1212329
0.0470613	3.14686809	0.1211566
0.0518707	3.15709163	0.1213855
0.0568925	3.16716258	0.1212329
0.0619965	3.17723354	0.1215381
0.06731079999999999	3.18730449	0.1213855
0.0727917	3.19737545	0.12161440000000001
0.0784624	3.2074464	0.1214618
0.0843993	3.21751736	0.1214618
0.09055440000000001	3.22758831	0.1214618
0.09688350000000001	3.23765927	0.1214618
0.1033645	3.24773022	0.1213855
0.1100573	3.25780117	0.1213092
0.1170305	3.26787213	0.1213092
0.12408899999999999	3.27794308	0.1213855
0.1316245	3.28801404	0.1213092
0.1394159	3.29823758	0.1213092
0.1475042	3.30830854	0.1211566
0.15573879999999998	3.31837949	0.1213855
0.16421080000000002	3.32845045	0.1213092
0.172914	3.3385214	0.1212329
0.1819452	3.34859236	0.1212329
0.1914807	3.3588159	0.1213855
0.2013897	3.36888685	0.1212329
0.2115165	3.37895781	0.1213855
0.2219544	3.38902876	0.1213092
0.23273069999999998	3.39909972	0.1213092
0.24406099999999997	3.40917067	0.1213855
0.2556285	3.41924163	0.1215381
0.2679423	3.42946517	0.1213855
0.28088789999999997	3.43953613	0.1214618
0.2941359	3.44960708	0.1213855
0.30816520000000003	3.45967803	0.1214618
0.3229743	3.46974899	0.1212329
0.3391176	3.47981994	0.1213855
0.35855269999999995	3.4898909	0.1212329
0.3888916	3.4991989	0.1213855
0.4192304	3.50453956	0.1211566
0.4495692	3.5085069	0.1215381
0.47990809999999995	3.51186389	0.1211566
0.5102469	3.51506828	0.1213855
0.5405858	3.51812009	0.1213855
0.5709246	3.52132448	0.1213855
0.6012633999999999	3.52498665	0.1213855
0.6316023	3.5288014	0.1213855
0.6619411000000001	3.53322652	0.1212329
0.69228	3.538262	0.12161440000000001
0.7226188	3.54390784	0.1213855
0.7529575999999999	3.54985885	0.1213092
0.7832965	3.55657282	0.1214618
0.8136353	3.5631342	0.1212329
0.8439742	3.56969558	0.1214618
0.874313	3.57595178	0.1214618
0.9046519	3.58266575	0.1212329
0.9349907000000001	3.58907454	0.1214618
0.9653296000000001	3.59548333	0.1214618
0.9956684	3.60128176	0.1214618
1.0260072	3.60677501	0.1213855
1.0563460999999998	3.61242084	0.1213855
1.0866849	3.61898222	0.1212329
1.1170237	3.62508583	0.1212329
1.1473626	3.6302739	0.1213855
1.1777015	3.63454643	0.1213092
1.2080403	3.638056	0.1213855
1.2383792	3.64141299	0.1213855
1.268718	3.64476997	0.1213855
1.2990569	3.64827955	0.1212329
1.3293957	3.65148394	0.1212329
1.3597345000000003	3.65484092	0.1213855
1.3900732999999998	3.65804532	0.1214618
1.4204122000000001	3.66094453	0.1213855
1.4507510000000001	3.66414893	0.1213092
1.4810899	3.66720073	0.1213855
1.5114288	3.67009995	0.1213855
1.5417676	3.67345693	0.1212329
1.5721064999999999	3.67666133	0.1213092
1.6024453	3.6801709	0.1212329
1.6327842000000001	3.68352789	0.1213092
1.663123	3.68719005	0.1213855
1.6934618	3.69100481	0.1213855
1.7238007	3.69481956	0.1213855
1.7541395000000002	3.69863432	0.1214618
1.7844784	3.70321202	0.1213855
1.8148172	3.70748455	0.1215381
1.8451560999999999	3.71206226	0.1214618
1.8754950000000001	3.71694514	0.1212329
1.9058338000000001	3.72167544	0.1213855
1.9361726000000001	3.72671092	0.1213092
1.9665115	3.73220417	0.1213855
1.9968503000000002	3.73769741	0.1213855
2.0271891	3.74319066	0.1214618
2.057528	3.74929427	0.1213092
2.0878668	3.75524529	0.1211566
2.1182057	3.76165408	0.1214618
2.1485445000000003	3.76836805	0.1213092
2.1788834	3.77508202	0.1213855
2.2092221999999997	3.78210117	0.1215381
2.2395611	3.78912032	0.1212329
2.2698999	3.79659724	0.1213855
2.3002388	3.80437934	0.1213855
2.3305776000000002	3.81231403	0.1213855
2.3609165	3.82085908	0.1213092
2.3912552999999996	3.82970932	0.1214618
2.4215942	3.83901732	0.1211566
2.4513664	3.84908827	0.1212329
2.4804835999999995	3.85915923	0.1213092
2.5085045999999998	3.86923018	0.1213092
2.5369557000000005	3.87930114	0.1212329
2.5662283	3.88937209	0.1213855
2.5965672000000004	3.89913787	0.1213855
2.6269059999999995	3.9079881	0.1213092
2.6572449	3.91683833	0.1213092
2.6875837000000002	3.92492561	0.1213855
2.7179225	3.93331807	0.1213092
2.7482614	3.94125277	0.1212329
2.7786002	3.94934005	0.1213092
2.8089391	3.95727474	0.1214618
2.8392779	3.96581979	0.1214618
2.8696168	3.97390707	0.1212329
2.8999555999999997	3.98245212	0.1214618
2.9302945	3.99084459	0.1211566
2.9606333000000005	3.99923705	0.12161440000000001
2.9909721	4.00762951	0.1213855
3.0213109999999994	4.01617456	0.1213092
3.0516498	4.02487221	0.1213855
3.0819886	4.03356985	0.1213092
3.1123274	4.0421149	0.1214618
3.1426663	4.05111772	0.1212329
3.1730051	4.05981537	0.1213855
3.2033440000000004	4.0686656	0.1213092
3.2336828	4.07751583	0.1213855
3.2640217	4.08636606	0.1213855
3.2943605	4.0952163	0.1214618
3.3093296999999997	4.09994659	0.1214618
