mAh	volts	mA
0.0	3.01808194	0.12031739999999999
0.0020462	3.0281529	0.1213092
0.0046587	3.03822385	0.1213092
0.0074826	3.04844739	0.1213855
0.0104872	3.05851835	0.1214618
0.0135932	3.0685893	0.1211566
0.0168391	3.07866026	0.1213092
0.0201531	3.08873121	0.1213855
0.023607399999999997	3.09880217	0.1214618
0.027194799999999998	3.10887312	0.1213855
0.030881299999999997	3.11894408	0.1213855
0.0347481	3.12901503	0.1213855
0.038821999999999995	3.13908598	0.1213855
0.042999	3.14915694	0.1213092
0.047304399999999996	3.15922789	0.1213092
0.051763500000000004	3.16929885	0.1214618
0.0563622	3.1793698	0.1215381
0.061178	3.18944076	0.1212329
0.0661316	3.19951171	0.1213855
0.0713462	3.20958267	0.1213855
0.076755	3.21965362	0.1212329
0.08227559999999999	3.22972457	0.1213092
0.08803120000000002	3.23979553	0.1213092
0.09395299999999998	3.24986648	0.1213092
0.1000467	3.25993744	0.1214618
0.10651600000000001	3.27000839	0.1212329
0.11312749999999999	3.28007935	0.1213092
0.1198722	3.29030289	0.1210803
0.1271245	3.30037385	0.1215381
0.1344719	3.3104448	0.1215381
0.1420243	3.32051575	0.1214618
0.149883	3.33058671	0.1214618
0.1580637	3.34081025	0.1213092
0.1666031	3.35088121	0.1214618
0.1753967	3.36095216	0.1212329
0.18438369999999998	3.37102312	0.1213855
0.1938791	3.38124666	0.1213092
0.2037402	3.39131762	0.1214618
0.21392529999999998	3.40138857	0.1213855
0.2245146	3.41145953	0.1213092
0.2353554	3.42168307	0.1215381
0.246842	3.43175402	0.1212329
0.25871089999999997	3.44182498	0.1214618
0.2711158	3.45189593	0.1214618
0.2841938	3.46196689	0.1213855
0.2980482	3.47203784	0.1213855
0.3127861	3.4821088	0.1213855
0.3291765	3.49217975	0.1213092
0.350496	3.50225071	0.1214618
0.38083480000000003	3.5101854	0.1213855
0.41117370000000003	3.51537346	0.1213855
0.44151260000000003	3.5194934	0.1212329
0.4718514	3.5226978	0.1213092
0.5021903	3.52605478	0.1212329
0.5325291000000001	3.52925917	0.1212329
0.562868	3.53276875	0.1214618
0.5932068	3.53643091	0.1214618
0.6235457	3.54070344	0.1213092
0.6538845	3.54543374	0.1213855
0.6842233	3.55107958	0.1215381
0.7145622	3.55718318	0.1214618
0.744901	3.56389715	0.1213092
0.7752399	3.57061112	0.1213092
0.8055788	3.57763027	0.1213092
0.8359175999999999	3.58434424	0.1213092
0.8662565	3.59136339	0.1212329
0.8965953	3.59807736	0.1214618
0.9269342	3.60479133	0.1213855
0.957273	3.61120012	0.1213092
0.9876119000000001	3.61699855	0.1213855
1.0179507	3.62294957	0.1213855
1.0482896	3.62966354	0.1213855
1.0786285	3.63637751	0.1213855
1.1089672999999998	3.64232853	0.1211566
1.1393062	3.64721141	0.1213092
1.169645	3.65117876	0.1213092
1.1999838	3.65499351	0.1213855
1.2303227	3.65896086	0.1213092
1.2606616	3.6630808	0.1213855
1.2910004	3.66689555	0.1213855
1.3213393	3.67101549	0.1214618
1.3516781	3.67483024	0.1213092
1.3820169000000002	3.67879759	0.1213855
1.4123558	3.68261234	0.1213092
1.4426947	3.6864271	0.1210803
1.4730335	3.69039445	0.1215381
1.5033724	3.69451438	0.1214618
1.5337112	3.69878691	0.1213092
1.5640501	3.70336461	0.1213855
1.5943889	3.70778973	0.1215381
1.6247277999999998	3.71236744	0.1211566
1.6550666	3.7175555	0.1214618
1.6854055	3.72274357	0.1213855
1.7157442999999999	3.72777905	0.1213092
1.7460830999999999	3.73357748	0.1214618
1.7764220000000002	3.73922332	0.1213855
1.8067608	3.74517433	0.1215381
1.8370996	3.75127794	0.1213092
1.8674385	3.75753414	0.1213092
1.8977773999999998	3.76394293	0.1214618
1.9281162	3.7706569	0.1213092
1.9584551000000001	3.77752346	0.1213092
1.9887939000000003	3.78439002	0.1213092
2.0191327	3.79140917	0.1214618
2.0494716	3.7987335	0.1212329
2.0798104000000004	3.80621042	0.1213855
2.1101493000000002	3.81383993	0.1213092
2.1404881	3.82162203	0.1214618
2.1708269000000002	3.82925154	0.1213855
2.2011658	3.83749142	0.1212329
2.2315045999999996	3.84588388	0.1213092
2.2618435	3.85427634	0.1214618
2.2921823999999997	3.86282139	0.1212329
2.3225211999999997	3.87167163	0.1213092
2.3528601	3.88097963	0.1212329
2.3831989000000005	3.89089799	0.1213092
2.4117657	3.90096895	0.1213855
2.4391616000000003	3.9110399	0.1213855
2.4648775	3.92111086	0.1215381
2.4901073	3.93118181	0.1213092
2.5157601	3.94125277	0.1213092
2.5437973	3.95132372	0.1215381
2.5741361	3.9609369	0.1212329
2.6044748999999996	3.97009232	0.1214618
2.6348138	3.97878996	0.1213092
2.6651527	3.98702983	0.1213855
2.6954915	3.99542229	0.1215381
2.7258303	4.00411994	0.1213855
2.7561692	4.01235981	0.1214618
2.786508	4.02075227	0.1212329
2.8168469	4.02975509	0.1215381
2.8471857000000003	4.03830014	0.1213092
2.8775246	4.04730297	0.1212329
2.9078634	4.05600061	0.1212329
2.9382022999999995	4.06500343	0.1213855
2.9685411	4.07385367	0.1212329
2.99888	4.08285649	0.1213855
3.0292188	4.09140154	0.12161440000000001
3.0568208	4.09994659	0.1213855
