volts	mAhg
3.70153353	29.88300376
3.70183871	30.02397368
3.70214389	30.16494361
3.70229648	30.30591729
3.70260166	30.44688722
3.70305943	30.58785714
3.70305943	30.72883083
3.70336461	30.86980075
3.70366979	31.01077068
3.70397498	31.15174436
3.70443275	31.29271429
3.70443275	31.43368421
3.70473793	31.57465789
3.70489052	31.71562782
3.7051957	31.85659774
3.70550088	31.99757143
3.70580606	32.13854135
3.70595865	32.27951128
3.70611124	32.42048496
3.70641642	32.56145489
3.7067216	32.70242481
3.70687419	32.8433985
3.70717937	32.98436842
3.70733196	33.12533835
3.70778973	33.26631203
3.70778973	33.40728195
3.7082475	33.54825188
3.70840009	33.68922556
3.70870527	33.83019549
3.70901045	33.97116541
3.70916304	34.1121391
3.70931563	34.25310902
3.70962081	34.39407895
3.70962081	34.53505263
3.70992599	34.67602256
3.71023117	34.81699248
3.71038376	34.95796617
3.71068894	35.09893609
3.71099413	35.23990602
3.71129931	35.3808797
3.7114519	35.52184962
3.71175708	35.66281955
3.71206226	35.80379323
3.71221485	35.94476316
3.71252003	36.08573308
3.71282521	36.22670677
3.71282521	36.36767669
3.71313039	36.50864662
3.71343557	36.6496203
3.71374075	36.79059023
3.71389334	36.93156015
3.71389334	37.07253383
3.71435111	37.21350376
3.71480888	37.35447368
3.71480888	37.49544361
3.71511406	37.63641729
3.71526665	37.77738722
3.71572442	37.91835714
3.71572442	38.05933083
3.71587701	38.20030075
3.71618219	38.34127068
3.71648737	38.48224436
3.71663996	38.62321429
3.71679255	38.76418421
3.71694514	38.90515789
3.71725032	39.04612782
3.7175555	39.18709774
3.71770809	39.32807143
3.71816587	39.46904135
3.71847105	39.61001128
3.71847105	39.75098496
3.71892882	39.89195489
3.71892882	40.03292481
3.719234	40.1738985
3.71938659	40.31486842
3.71969177	40.45583835
3.71984436	40.59681203
3.71999695	40.73778195
3.72030213	40.87875188
3.72045472	41.01972556
3.72060731	41.16069549
3.72091249	41.30166541
3.72121767	41.4426391
3.72152285	41.58360902
3.72152285	41.72457895
3.72182803	41.86555263
3.7222858	42.00652256
3.72243839	42.14749248
3.72259098	42.28846617
3.72289616	42.42943609
3.72289616	42.57040602
3.72320134	42.7113797
3.72335393	42.85234962
3.72365911	42.99331955
3.72396429	43.13429323
3.72411688	43.27526316
3.72426947	43.41623308
3.72442206	43.55720677
3.72457465	43.69817669
3.72487984	43.83914662
3.72503243	43.9801203
3.7254902	44.12109023
3.72564279	44.26206015
3.72594797	44.40303383
3.72610056	44.54400376
3.72610056	44.68497368
3.72640574	44.82594737
3.72671092	44.96691729
3.72686351	45.10788722
3.72716869	45.2488609
3.72732128	45.38983083
3.72732128	45.53080075
3.72762646	45.67177444
3.72777905	45.81274436
3.72808423	45.95371429
3.72823682	46.09468797
3.72838941	46.23565789
3.728542	46.37662782
3.72869459	46.5176015
3.72930495	46.65857143
3.72945754	46.79954135
3.72976272	46.94051504
3.72976272	47.08148496
3.7300679	47.22245489
3.73037308	47.36342857
3.73052567	47.5043985
3.73052567	47.64536842
3.73083085	47.78634211
3.73098344	47.92731203
3.73113603	48.06828195
3.73144121	48.20925564
3.7315938	48.35022556
3.73189899	48.49119549
3.73189899	48.63216917
3.73220417	48.7731391
3.73250935	48.91410902
3.73281453	49.05508271
3.73296712	49.19605263
3.73311971	49.33702256
3.7332723	49.47799624
3.73373007	49.61896617
3.73373007	49.75993609
3.73388266	49.90090977
3.73434043	50.0418797
3.73434043	50.18284962
3.73464561	50.32382331
3.73495079	50.46479323
3.73495079	50.60576316
3.73525597	50.74673684
3.73540856	50.88770677
3.73556115	51.02867669
3.73571374	51.16965038
3.73617151	51.3106203
3.73647669	51.45159023
3.73647669	51.59256391
3.73678187	51.73353383
3.73678187	51.87450376
3.73708705	52.01547744
3.73739223	52.15644737
3.73739223	52.29741729
3.73754482	52.43839098
3.73785	52.5793609
3.73815518	52.72033083
3.73830777	52.86130451
3.73861295	53.00227444
3.73861295	53.14324436
3.73891814	53.28421805
3.73907073	53.42518797
3.73922332	53.56615789
3.73937591	53.70712782
3.73968109	53.8481015
3.73998627	53.98907143
3.74013886	54.13004135
3.74029145	54.27101504
3.74044404	54.41198496
3.74059663	54.55295489
3.74090181	54.69392857
3.7410544	54.8348985
3.74135958	54.97586842
3.74166476	55.11684211
3.74181735	55.25781203
3.74196994	55.39878195
3.74212253	55.53975564
3.74242771	55.68072556
3.74242771	55.82169549
3.74273289	55.96266917
3.74273289	56.1036391
3.74319066	56.24460902
3.74319066	56.38558271
3.74364843	56.52655263
3.74364843	56.66752256
3.74380102	56.80849624
3.7441062	56.94946617
3.74456397	57.09043609
3.74456397	57.23140977
3.74486915	57.3723797
3.74502174	57.51334962
3.74517433	57.65432331
3.74532692	57.79529323
3.7456321	57.93626316
3.7457847	58.07723684
3.74593729	58.21820677
3.74608988	58.35917669
3.74624247	58.50015038
3.74654765	58.6411203
3.74685283	58.78209023
3.74715801	58.92306391
3.7473106	59.06403383
3.74746319	59.20500376
3.74761578	59.34597744
3.74776837	59.48694737
3.74792096	59.62791729
3.74822614	59.76889098
3.74822614	59.9098609
3.74853132	60.05083083
3.74868391	60.19180451
3.74868391	60.33277444
3.74898909	60.47374436
3.74914168	60.61471805
3.74944686	60.75568797
3.74959945	60.89665789
3.74990463	61.03763158
3.74990463	61.1786015
3.75005722	61.31957143
3.75051499	61.46054511
3.75082017	61.60151504
3.75112535	61.74248496
3.75112535	61.88345865
3.75127794	62.02442857
3.75158312	62.1653985
3.75173571	62.30637218
3.7518883	62.44734211
3.75219348	62.58831203
3.75234607	62.72928571
3.75249866	62.87025564
3.75265126	63.01122556
3.75280385	63.15219925
3.75310903	63.29316917
3.75326162	63.4341391
3.7535668	63.57511278
3.7535668	63.71608271
3.75371939	63.85705263
3.75417716	63.99802632
3.75448234	64.13899624
3.75463493	64.27996617
3.75478752	64.42093985
3.75494011	64.56190977
3.7550927	64.7028797
3.75524529	64.84385338
3.75555047	64.98482331
3.75600824	65.12579323
3.75585565	65.26676692
3.75585565	65.40773684
3.75631342	65.54870677
3.75646601	65.68968045
3.75677119	65.83065038
3.75692378	65.9716203
3.75722896	66.11259398
3.75722896	66.25356391
3.75753414	66.39453383
3.75768673	66.53550752
3.75799191	66.67647744
3.75829709	66.81744737
3.75844968	66.95842105
3.75860227	67.09939098
3.75875486	67.2403609
3.75890745	67.38133459
3.75921263	67.52230451
3.75951781	67.66327444
3.75967041	67.80424812
3.759823	67.94521805
3.75997559	68.08618797
3.76028077	68.22716165
3.76058595	68.36813158
3.76073854	68.5091015
3.76073854	68.65007519
3.76104372	68.79104511
3.7613489	68.93201504
3.76165408	69.07298872
3.76180667	69.21395865
3.76195926	69.35492857
3.76211185	69.49590226
3.76241703	69.63687218
3.76241703	69.77784211
3.76272221	69.91881579
3.76302739	70.05978571
3.76317998	70.20075564
3.76348516	70.34172932
3.76363775	70.48269925
